year_month,age,male,female,total,source_url
202101,14,752,715,1467,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,39,688,770,1458,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,64,596,644,1240,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,89,91,198,289,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,15,670,619,1289,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,40,754,780,1534,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,65,617,643,1260,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,90,91,170,261,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,16,713,654,1367,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,41,749,774,1523,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,66,606,702,1308,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,91,54,161,215,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,17,727,690,1417,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,42,818,790,1608,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,67,636,700,1336,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
